iter	Passed	Remaining
581	35068	25186
582	35129	25126
583	35183	25062
584	35241	25000
585	35299	24938
586	35356	24876
587	35410	24811
588	35468	24749
589	35526	24688
590	35584	24626
591	35639	24562
592	35697	24500
593	35757	24440
594	35815	24378
595	35878	24320
596	35935	24258
597	35995	24197
598	36055	24137
599	36111	24074
600	36167	24011
601	36232	23954
602	36288	23891
603	36346	23829
604	36404	23768
605	36468	23710
606	36527	23649
607	36587	23589
608	36647	23528
609	36710	23470
610	36763	23405
611	36820	23343
612	36875	23279
613	36936	23220
614	36992	23157
615	37049	23095
616	37102	23031
617	37159	22969
618	37216	22907
619	37271	22843
620	37328	22781
621	37386	22720
622	37445	22659
623	37502	22597
624	37563	22538
625	37625	22479
626	37685	22418
627	37741	22356
628	37798	22294
629	37862	22236
630	37920	22175
631	37976	22113
632	38038	22053
633	38097	21993
634	38154	21931
635	38209	21868
636	38264	21805
637	38324	21745
638	38382	21684
639	38438	21621
640	38497	21560
641	38558	21501
642	38612	21438
643	38676	21380
644	38736	21320
645	38803	21263
646	38864	21204
647	38924	21144
648	38988	21086
649	39057	21030
650	39121	20972
651	39185	20914
652	39248	20856
653	39312	20798
654	39370	20737
655	39431	20677
656	39495	20619
657	39561	20562
658	39617	20499
659	39674	20438
660	39733	20377
661	39798	20319
662	39861	20261
663	39925	20203
664	39986	20143
665	40054	20087
666	40114	20027
667	40172	19965
668	40231	19905
669	40297	19848
670	40356	19787
671	40414	19726
672	40475	19666
673	40538	19607
674	40604	19550
675	40664	19489
676	40722	19429
677	40787	19370
678	40846	19310
679	40905	19249
680	40968	19190
681	41030	19131
682	41093	19072
683	41156	19013
684	41217	18954
685	41283	18896
686	41340	18834
687	41398	18773
688	41455	18712
689	41517	18652
690	41573	18590
691	41631	18529
692	41685	18466
693	41744	18405
694	41797	18342
695	41858	18283
696	41915	18221
697	41974	18161
698	42039	18102
699	42094	18040
700	42152	17979
701	42210	17918
702	42267	17857
703	42324	17795
704	42385	17735
705	42447	17676
706	42506	17615
707	42563	17554
708	42620	17492
709	42680	17433
710	42742	17373
711	42799	17312
712	42855	17250
713	42914	17189
714	42973	17129
715	43032	17068
716	43088	17007
717	43149	16947
718	43205	16885
719	43262	16824
720	43318	16762
721	43378	16702
722	43438	16642
723	43495	16580
724	43553	16520
725	43616	16461
726	43677	16401
727	43739	16342
728	43800	16282
729	43860	16222
730	43918	16161
731	43979	16101
732	44037	16040
733	44094	15979
734	44154	15919
735	44213	15859
736	44274	15799
737	44337	15740
738	44393	15678
739	44452	15618
740	44509	15557
741	44569	15497
742	44627	15436
743	44683	15374
744	44739	15313
745	44803	15254
746	44858	15193
747	44915	15132
748	44973	15071
749	45033	15011
750	45089	14949
751	45143	14887
752	45198	14826
753	45258	14765
754	45318	14705
755	45372	14643
756	45428	14582
757	45491	14523
758	45554	14464
759	45614	14404
760	45674	14344
761	45733	14284
762	45790	14223
763	45849	14163
764	45907	14102
765	45968	14042
766	46027	13982
767	46088	13922
768	46144	13861
769	46204	13801
770	46263	13741
771	46324	13681
772	46382	13620
773	46441	13560
774	46500	13500
775	46557	13439
776	46615	13378
777	46675	13318
778	46734	13258
779	46792	13197
780	46849	13137
781	46909	13077
782	46963	13015
783	47028	12956
784	47086	12896
785	47145	12836
786	47206	12776
787	47260	12714
788	47314	12653
789	47371	12592
790	47430	12532
791	47486	12471
792	47547	12411
793	47611	12352
794	47669	12292
795	47720	12230
796	47780	12170
797	47842	12110
798	47899	12049
799	47955	11988
800	48012	11928
801	48067	11867
802	48126	11806
803	48184	11746
804	48240	11685
805	48301	11625
806	48359	11565
807	48416	11504
808	48478	11445
809	48545	11387
810	48604	11326
811	48664	11267
812	48724	11207
813	48788	11148
814	48845	11087
815	48903	11027
816	48963	10967
817	49022	10907
818	49081	10847
819	49141	10787
820	49198	10726
821	49258	10666
822	49313	10605
823	49369	10544
824	49425	10484
825	49490	10425
826	49546	10364
827	49605	10304
828	49666	10244
829	49729	10185
830	49783	10124
831	49845	10065
832	49900	10004
833	49960	9944
834	50014	9883
835	50073	9823
836	50134	9763
837	50191	9702
838	50252	9643
839	50312	9583
840	50368	9522
841	50428	9462
842	50485	9402
843	50538	9341
844	50595	9280
845	50653	9220
846	50711	9160
847	50773	9100
848	50830	9040
849	50892	8981
850	50954	8921
851	51013	8861
852	51072	8801
853	51133	8741
854	51188	8681
855	51245	8620
856	51300	8560
857	51359	8500
858	51415	8439
859	51472	8379
860	51531	8319
861	51587	8258
862	51644	8198
863	51701	8138
864	51756	8077
865	51813	8017
866	51870	7957
867	51925	7896
868	51983	7836
869	52040	7776
870	52097	7715
871	52152	7655
872	52213	7595
873	52271	7535
874	52330	7475
875	52385	7415
876	52440	7354
877	52500	7294
878	52556	7234
879	52613	7174
880	52669	7114
881	52732	7054
882	52790	6994
883	52848	6934
884	52912	6875
885	52973	6815
886	53029	6755
887	53087	6695
888	53147	6636
889	53207	6576
890	53265	6516
891	53322	6456
892	53380	6396
893	53442	6336
894	53497	6276
895	53557	6216
896	53615	6156
897	53678	6097
898	53733	6036
899	53794	5977
900	53850	5916
901	53911	5857
902	53969	5797
903	54023	5736
904	54079	5676
905	54136	5616
906	54193	5556
907	54249	5496
908	54306	5436
909	54370	5377
910	54428	5317
911	54487	5257
912	54548	5197
913	54610	5138
914	54670	5078
915	54727	5018
916	54782	4958
917	54844	4898
918	54901	4838
919	54955	4778
920	55013	4718
921	55071	4658
922	55133	4599
923	55189	4539
924	55247	4479
925	55308	4419
926	55367	4360
927	55424	4300
928	55480	4240
929	55541	4180
930	55601	4120
931	55656	4060
932	55713	4000
933	55768	3940
934	55827	3881
935	55881	3820
936	55936	3760
937	56001	3701
938	56060	3641
939	56119	3582
940	56180	3522
941	56241	3462
942	56299	3403
943	56358	3343
944	56417	3283
945	56479	3223
946	56536	3164
947	56599	3104
948	56657	3044
949	56716	2985
950	56769	2925
951	56825	2865
952	56881	2805
953	56943	2745
954	57005	2686
955	57062	2626
956	57120	2566
957	57183	2507
958	57244	2447
959	57303	2387
960	57359	2327
961	57417	2268
